category,main_category,secondary_category,type,supercategories
aceite_especias_y_salsas_aceite_vinagre_y_sal,aceite_especias_y_salsas,aceite_vinagre_y_sal,aceite_vinagre_y_sal,alimentacion_otros
aceite_especias_y_salsas_especias,aceite_especias_y_salsas,especias,especias,alimentacion_otros
aceite_especias_y_salsas_mayonesa_ketchup_y_mostaza,aceite_especias_y_salsas,mayonesa_ketchup_y_mostaza,mayonesa_ketchup_y_mostaza,alimentacion_otros
aceite_especias_y_salsas_otras_salsas,aceite_especias_y_salsas,otras_salsas,otras_salsas,alimentacion_otros
agua_y_refrescos_agua,agua_y_refrescos,agua,agua,bebidas
agua_y_refrescos_isotonico_y_energetico,agua_y_refrescos,isotonico_y_energetico,isotonico_y_energetico,bebidas
agua_y_refrescos_refresco_de_cola,agua_y_refrescos,refresco_de_cola,refresco_de_cola,bebidas
agua_y_refrescos_refresco_de_naranja_y_de_limon,agua_y_refrescos,refresco_de_naranja_y_de_limon,refresco_de_naranja_y_de_limon,bebidas
agua_y_refrescos_refresco_de_te_y_sin_gas,agua_y_refrescos,refresco_de_te_y_sin_gas,refresco_de_te_y_sin_gas,bebidas
agua_y_refrescos_tonica_y_bitter,agua_y_refrescos,tonica_y_bitter,tonica_y_bitter,bebidas
al_dia_carne_cerdo,al_dia,carne,cerdo,frescos
al_dia_carne_conejo,al_dia,carne,conejo,frescos
al_dia_carne_mixto,al_dia,carne,mixto,frescos
al_dia_carne_pavo,al_dia,carne,pavo,frescos
al_dia_carne_pollo,al_dia,carne,pollo,frescos
al_dia_carne_vacuno,al_dia,carne,vacuno,frescos
al_dia_charcuteria_y_quesos_cocidos,al_dia,charcuteria_y_quesos,cocidos,frescos
al_dia_charcuteria_y_quesos_curados,al_dia,charcuteria_y_quesos,curados,frescos
al_dia_charcuteria_y_quesos_foie_pates_y_sobrasadas,al_dia,charcuteria_y_quesos,foie_pates_y_sobrasadas,frescos
al_dia_charcuteria_y_quesos_quesos,al_dia,charcuteria_y_quesos,quesos,frescos
al_dia_frutas_citricos,al_dia,frutas,citricos,frescos
al_dia_frutas_frutas_de_temporada,al_dia,frutas,frutas_de_temporada,frescos
al_dia_frutas_frutas_tropicales,al_dia,frutas,frutas_tropicales,frescos
al_dia_frutas_frutos_del_bosque,al_dia,frutas,frutos_del_bosque,frescos
al_dia_frutas_manzanas,al_dia,frutas,manzanas,frescos
al_dia_frutas_peras,al_dia,frutas,peras,frescos
al_dia_frutas_platanos,al_dia,frutas,platanos,frescos
al_dia_frutas_uvas,al_dia,frutas,uvas,frescos
al_dia_pescado_y_marisco_ahumados_y_salazones,al_dia,pescado_y_marisco,ahumados_y_salazones,frescos
al_dia_pescado_y_marisco_gulas_y_surimi,al_dia,pescado_y_marisco,gulas_y_surimi,frescos
al_dia_pescado_y_marisco_marisco,al_dia,pescado_y_marisco,marisco,frescos
al_dia_pescado_y_marisco_pescado_fresco,al_dia,pescado_y_marisco,pescado_fresco,frescos
al_dia_pescado_y_marisco_pescado_y_marisco_fresco,al_dia,pescado_y_marisco,pescado_y_marisco_fresco,frescos
al_dia_verduras_y_hortalizas_ajos_cebollas_y_puerros,al_dia,verduras_y_hortalizas,ajos_cebollas_y_puerros,frescos
al_dia_verduras_y_hortalizas_brocolis_y_coliflores,al_dia,verduras_y_hortalizas,brocolis_y_coliflores,frescos
al_dia_verduras_y_hortalizas_calabacin_calabaza_y_berenjena,al_dia,verduras_y_hortalizas,calabacin_calabaza_y_berenjena,frescos
al_dia_verduras_y_hortalizas_espinacas_y_alcachofas,al_dia,verduras_y_hortalizas,espinacas_y_alcachofas,frescos
al_dia_verduras_y_hortalizas_judias_y_guisantes,al_dia,verduras_y_hortalizas,judias_y_guisantes,frescos
